name,feature,imgUrl
그라탕,양파 토마토 치즈 새우 밥 느끼함 찜,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_14.jpg
부리또,밥 토마토 치즈 돼지고기 소고기 무속성 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_15.jpg
햄버거,돼지고기 소고기 양파 밀가루 상추 느끼함 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/western/wes_16.jpg
라볶이,면 떡 고추장 어묵 대파 촉촉함 면류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_1.jpeg
라면,면 대파 고추 양파 떡 얼큰함 면류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_2.jpeg
순대,순대 쌈장 대파 고추 소금 무속성 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_3.jpeg
쫄면,면 고추장 당근 콩나물 양배추 미분류 면류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_4.jpg
만두라면,면 대파 만두 고추 양파 얼큰함 면류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_5.jpeg
떡볶이,떡 고추장 어묵 대파 고추가루 촉촉함 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_6.jpg
김밥,밥 김 단무지 시금치 햄 무속성 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_7.jpg
왕돈가스,돼지고기 계란 밀가루 양배추 후추 바삭함 튀김,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_8.jpg
크림돈가스,돼지고기 계란 밀가루 크림 후추 바삭함 튀김,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_9.jng
어묵,어묵 무 간장 쪽파 고추가루 무속성 탕,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_10.jpg
핫도그,밀가루 소시지 케첩 치즈 설탕 무속성 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_11.jng
떡꼬치,떡 고추장 견과류 고추가루 소시지 무속성 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_12.jpeg
양념만두,만두 고추장 양배추 고추가루 당근 무속성 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_13.jpeg
계란김밥,밥 김 계란 단무지 햄 무속성 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_14.jpeg
떡만두국,떡 만두 대파 양파 후추 무속성 미분류,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_15.jpeg
김말이,김 당면 간장 밀가루 계란 바삭함 튀김,https://wte-s3.s3.ap-northeast-2.amazonaws.com/wte_food_img/snack/snk_16.jpeg
